Owl_ID,Stations_ID,Owl_Species_ID,Owl_Number,Minute_1,Minute_2,Minute_6-12,Owl_Distance,Owl_Direction,Owl_Comments
50,33,Mottd,2,FALSE,FALSE,TRUE,950,E,11 Min - finer vocalization - these two birds were also heard at point 3
53,36,Mottd,1,TRUE,TRUE,TRUE,400,S,Heard an elongated owww - guard thought it was a MOOW in Los Oscuranos - long way off
54,37,Mottd,1,FALSE,FALSE,TRUE,700,N,6 min - from Los Oscuranos
56,39,Mottd,1,TRUE,TRUE,FALSE,50,W,
57,39,Mottd,2,TRUE,TRUE,FALSE,80,W,
58,40,Mottd,1,TRUE,TRUE,TRUE,60,S,7 Min.
59,40,Mottd,2,TRUE,TRUE,FALSE,60,S,
60,40,Mottd,3,FALSE,FALSE,TRUE,60,SW,9 Min.; Different location from previous two
61,41,Mottd,1,FALSE,TRUE,TRUE,50,NE,10 Min.
62,41,Mottd,2,FALSE,FALSE,TRUE,20,SE,9 Min.
63,43,Mottd,1,FALSE,TRUE,TRUE,500,SE,9 min plus
64,43,Mottd,2,FALSE,FALSE,TRUE,500,NE,10 min. plus
65,44,Mottd,1,FALSE,FALSE,TRUE,300,E,6 min.
66,45,Mottd,1,FALSE,FALSE,TRUE,400,NW,9 min. plus
67,45,Mottd,2,FALSE,FALSE,TRUE,400,NW,"11 min. plus ""female"" type call close to #1 but not same bird"
68,46,Mottd,1,FALSE,FALSE,TRUE,300,SW,6 min. plus
69,46,Mottd,2,FALSE,FALSE,TRUE,100,S,8 min. plus
71,48,Mottd,1,TRUE,TRUE,TRUE,100,N,6 min. plus; same bird-moved closer to 50 meters N; also heard during playback
73,49,Mottd,1,TRUE,TRUE,FALSE,100,S,
74,49,Mottd,2,FALSE,FALSE,TRUE,500,N,7 min.; can hardly hear
75,50,Mottd,1,FALSE,FALSE,TRUE,50,SW,6 min.
76,50,Mottd,2,FALSE,FALSE,TRUE,30,SW,"7 min.; ""owww"" sound"
77,50,Mottd,3,FALSE,FALSE,TRUE,40,W,"9 min.; ""owww"" sound"
78,51,Mottd,1,FALSE,FALSE,TRUE,100,NE,6 min. plus; all vocalized w/in the 6-12 min. time frame
79,51,Mottd,2,FALSE,FALSE,TRUE,75,E,"6 min. plus; ""owww"" sound"
80,51,Mottd,3,FALSE,FALSE,TRUE,50,S,6 min. plus
81,51,Mottd,4,FALSE,FALSE,TRUE,50,NE,"7 min. plus; ""owww"" sound"
82,51,Mottd,5,FALSE,FALSE,TRUE,50,E,8 min. plus
83,51,Mottd,6,FALSE,FALSE,TRUE,250,NE,8 min. plus
84,52,Specd,1,FALSE,FALSE,TRUE,300,E,9 min.
85,58,FerPy,1,FALSE,FALSE,TRUE,150,S,
87,59,FerPy,1,FALSE,FALSE,TRUE,100,W,6 min. plus; other side of river - on island
88,59,Specd,2,FALSE,FALSE,TRUE,400,S,7 min. plus; pair (# 3 & 4)
89,59,Specd,3,FALSE,FALSE,TRUE,400,S,8 min. plus; pair (# 3 & 4)
90,60,FerPy,1,TRUE,TRUE,FALSE,25,N,
91,60,Specd,2,TRUE,TRUE,TRUE,500,NE,6 min. plus
92,60,Specd,3,TRUE,TRUE,TRUE,500,S,6 min. plus; pair (# 3& 4)
